time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Daily_Open,Daily_Close,MA №1,MA №2,MA №3,MA №4
2024-08-02T02:03:00-04:00,2181.5,2182,2181.2,2181.9,2189.952236,2195.658712,2184.24576,2195.9,2198.1,2181.587622,NaN,NaN,2186.414286
2024-08-02T02:04:00-04:00,2182.2,2182.5,2180.4,2180.6,2189.903421,2195.631372,2184.17547,2195.9,2198.1,2181.390098,NaN,NaN,2186.333333
2024-08-02T02:05:00-04:00,2181,2182.5,2180.7,2182.2,2189.857517,2195.601508,2184.113526,2195.9,2198.1,2181.552078,NaN,NaN,2186.264762
2024-08-02T02:06:00-04:00,2182.3,2182.3,2180.3,2180.5,2189.821256,2195.581162,2184.061351,2195.9,2198.1,2181.341663,NaN,NaN,2186.18
2024-08-02T02:07:00-04:00,2180.4,2181.4,2180,2181.4,2189.807659,2195.57363,2184.041687,2195.9,2198.1,2181.35333,NaN,NaN,2186.104762
2024-08-02T02:08:00-04:00,2181.7,2181.7,2180.8,2181.7,2189.790155,2195.562855,2184.017455,2195.9,2198.1,2181.422664,NaN,NaN,2186.032381
2024-08-02T02:09:00-04:00,2181.7,2182.3,2181.3,2181.3,2189.782238,2195.557724,2184.006752,2195.9,2198.1,2181.398131,NaN,NaN,2185.952381
2024-08-02T02:10:00-04:00,2181.1,2181.1,2179.5,2179.5,2189.727129,2195.532463,2183.921795,2195.9,2198.1,2181.018505,NaN,NaN,2185.849524
2024-08-02T02:11:00-04:00,2179.6,2180.1,2179.6,2179.9,2189.716265,2195.527614,2183.904916,2195.9,2198.1,2180.794804,NaN,NaN,2185.754286
2024-08-02T02:12:00-04:00,2180,2180.7,2179.5,2180.7,2189.682024,2195.510421,2183.853627,2195.9,2198.1,2180.775843,NaN,NaN,2185.664762
2024-08-02T02:13:00-04:00,2180.8,2181.4,2180,2180.3,2189.632264,2195.483408,2183.781121,2195.9,2198.1,2180.680675,NaN,NaN,2185.572381
2024-08-02T02:14:00-04:00,2180.7,2181.1,2180.1,2181,2189.612875,2195.472351,2183.7534,2195.9,2198.1,2180.74454,NaN,NaN,2185.491429
2024-08-02T02:15:00-04:00,2181,2182.4,2181,2181.9,2189.575128,2195.445649,2183.704606,2195.9,2198.1,2180.975632,NaN,NaN,2185.419048
2024-08-02T02:16:00-04:00,2181.8,2182.1,2181.3,2182.1,2189.567267,2195.439986,2183.694548,2195.9,2198.1,2181.200505,NaN,NaN,2185.34381
2024-08-02T02:17:00-04:00,2181.9,2182.6,2181.7,2181.7,2189.550911,2195.427796,2183.674025,2195.9,2198.1,2181.300404,NaN,NaN,2185.267619
2024-08-02T02:18:00-04:00,2181.8,2181.8,2180.5,2180.7,2189.518116,2195.407485,2183.628746,2195.9,2198.1,2181.180323,NaN,NaN,2185.193333
2024-08-02T02:19:00-04:00,2180.8,2180.8,2180.1,2180.3,2189.494251,2195.39433,2183.594172,2195.9,2198.1,2181.004259,NaN,NaN,2185.11619
2024-08-02T02:20:00-04:00,2180.5,2181.8,2180.1,2181.6,2189.472512,2195.380186,2183.564838,2195.9,2198.1,2181.123407,NaN,NaN,2185.053333
2024-08-02T02:21:00-04:00,2182,2183.5,2182,2182.3,2189.436818,2195.349802,2183.523834,2195.9,2198.1,2181.358726,NaN,NaN,2185.009524
2024-08-02T02:22:00-04:00,2182.6,2183.3,2182,2182.5,2189.429088,2195.343193,2183.514982,2195.9,2198.1,2181.58698,NaN,NaN,2184.96
2024-08-02T02:23:00-04:00,2183.1,2184.3,2182.8,2184.1,2189.414728,2195.328276,2183.501181,2195.9,2198.1,2182.089584,NaN,NaN,2184.928571
2024-08-02T02:24:00-04:00,2184.1,2184.5,2183.6,2184.1,2189.398104,2195.309954,2183.486254,2195.9,2198.1,2182.491668,NaN,NaN,2184.902857
2024-08-02T02:25:00-04:00,2184.3,2186,2184.3,2185.3,2189.379859,2195.285309,2183.474409,2195.9,2198.1,2183.053334,NaN,NaN,2184.885714
2024-08-02T02:26:00-04:00,2185.4,2185.8,2183.7,2183.8,2189.354582,2195.255473,2183.45369,2195.9,2198.1,2183.202667,NaN,NaN,2184.85619
2024-08-02T02:27:00-04:00,2183.9,2183.9,2183.4,2183.9,2189.339157,2195.239279,2183.439034,2195.9,2198.1,2183.342134,NaN,NaN,2184.828571
2024-08-02T02:28:00-04:00,2183.9,2183.9,2180.6,2181.1,2189.287763,2195.199904,2183.375621,2195.9,2198.1,2182.893707,NaN,NaN,2184.778095
2024-08-02T02:29:00-04:00,2180.9,2181,2180.1,2180.3,2189.224122,2195.162015,2183.286229,2195.9,2198.1,2182.374966,NaN,NaN,2184.71619
2024-08-02T02:30:00-04:00,2180.2,2181.1,2180,2180.7,2189.179907,2195.134499,2183.225315,2195.9,2198.1,2182.039972,NaN,NaN,2184.661905
2024-08-02T02:31:00-04:00,2180.8,2181.3,2180.1,2180.4,2189.149771,2195.115531,2183.184012,2195.9,2198.1,2181.711978,NaN,NaN,2184.602857
2024-08-02T02:32:00-04:00,2180.6,2180.7,2177.8,2178.1,2189.06575,2195.078771,2183.052729,2195.9,2198.1,2180.989582,NaN,NaN,2184.52381
2024-08-02T02:33:00-04:00,2177.9,2178.3,2177.4,2177.8,2189.009825,2195.059738,2182.959913,2195.9,2198.1,2180.351666,NaN,NaN,2184.434286
2024-08-02T02:34:00-04:00,2177.9,2179.9,2177.8,2179.7,2188.962744,2195.036437,2182.889051,2195.9,2198.1,2180.221333,NaN,NaN,2184.367619
2024-08-02T02:35:00-04:00,2179.8,2182.1,2179.6,2180.8,2188.943922,2195.023148,2182.864695,2195.9,2198.1,2180.337066,NaN,NaN,2184.311429
2024-08-02T02:36:00-04:00,2180.6,2181.4,2180,2180,2188.912738,2195.002436,2182.823039,2195.9,2198.1,2180.269653,NaN,NaN,2184.255238
2024-08-02T02:37:00-04:00,2179.9,2180.9,2179.5,2180.7,2188.870323,2194.974506,2182.766139,2195.9,2198.1,2180.355722,NaN,NaN,2184.205714
2024-08-02T02:38:00-04:00,2180.6,2180.6,2179.9,2179.9,2188.858955,2194.967291,2182.750619,2195.9,2198.1,2180.264578,NaN,NaN,2184.147619
2024-08-02T02:39:00-04:00,2179.6,2180.8,2179.5,2180.8,2188.845297,2194.958198,2182.732395,2195.9,2198.1,2180.371662,NaN,NaN,2184.098095
2024-08-02T02:40:00-04:00,2180.4,2180.5,2179.5,2179.5,2188.795954,2194.928262,2182.663646,2195.9,2198.1,2180.19733,NaN,NaN,2184.032381
2024-08-02T02:41:00-04:00,2179.4,2179.4,2178.1,2178.1,2188.755706,2194.909498,2182.601914,2195.9,2198.1,2179.777864,NaN,NaN,2183.959048
2024-08-02T02:42:00-04:00,2178.3,2179.8,2178.1,2179.5,2188.650152,2194.851626,2182.448677,2195.9,2198.1,2179.722291,NaN,NaN,2183.894286
2024-08-02T02:43:00-04:00,2179.3,2179.7,2178.9,2179.6,2188.633364,2194.841705,2182.425023,2195.9,2198.1,2179.697833,NaN,NaN,2183.83619
2024-08-02T02:44:00-04:00,2179.3,2179.3,2178.3,2179.2,2188.600613,2194.823954,2182.377272,2195.9,2198.1,2179.598266,NaN,NaN,2183.769524
2024-08-02T02:45:00-04:00,2179.4,2179.8,2178.8,2179,2188.579125,2194.811538,2182.346711,2195.9,2198.1,2179.478613,NaN,NaN,2183.704762
2024-08-02T02:46:00-04:00,2179.1,2179.5,2179,2179,2188.572901,2194.80795,2182.337851,2195.9,2198.1,2179.38289,NaN,NaN,2183.631429
2024-08-02T02:47:00-04:00,2179.1,2179.5,2179,2179.2,2188.558886,2194.799735,2182.318036,2195.9,2198.1,2179.346312,NaN,NaN,2183.564762
2024-08-02T02:48:00-04:00,2179.5,2179.7,2179.1,2179.7,2188.550737,2194.794687,2182.306786,2195.9,2198.1,2179.41705,NaN,NaN,2183.506667
2024-08-02T02:49:00-04:00,2179.7,2179.8,2179.1,2179.8,2188.528701,2194.780803,2182.276599,2195.9,2198.1,2179.49364,NaN,NaN,2183.44381
2024-08-02T02:50:00-04:00,2179.9,2180.5,2179.9,2180.4,2188.511438,2194.768389,2182.254487,2195.9,2198.1,2179.674912,NaN,NaN,2183.382857
2024-08-02T02:51:00-04:00,2180.5,2181,2180.2,2180.2,2188.486542,2194.749764,2182.223321,2195.9,2198.1,2179.77993,NaN,NaN,2183.318095
2024-08-02T02:52:00-04:00,2180.3,2180.8,2180,2180,2188.473355,2194.740191,2182.206519,2195.9,2198.1,2179.823944,NaN,NaN,2183.24
2024-08-02T02:53:00-04:00,2180.3,2181.7,2180.2,2180.8,2188.445558,2194.717625,2182.173491,2195.9,2198.1,2180.019155,NaN,NaN,2183.165714
2024-08-02T02:54:00-04:00,2180.9,2181.3,2180.9,2181.3,2188.43738,2194.710664,2182.164096,2195.9,2198.1,2180.275324,NaN,NaN,2183.095238
2024-08-02T02:55:00-04:00,2181.2,2181.8,2179.8,2180,2188.415474,2194.693824,2182.137123,2195.9,2198.1,2180.220259,NaN,NaN,2183.02
2024-08-02T02:56:00-04:00,2179.8,2180.3,2179.7,2180,2188.391721,2194.677081,2182.10636,2195.9,2198.1,2180.176207,NaN,NaN,2182.941905
2024-08-02T02:57:00-04:00,2179.9,2180.6,2179.8,2180.6,2188.374698,2194.664308,2182.085088,2195.9,2198.1,2180.260966,NaN,NaN,2182.874286
2024-08-02T02:58:00-04:00,2180.4,2180.4,2177.9,2178.1,2188.328848,2194.6381,2182.019597,2195.9,2198.1,2179.828773,NaN,NaN,2182.788571
2024-08-02T02:59:00-04:00,2177.9,2178.1,2176.3,2176.6,2188.227874,2194.598555,2181.857192,2195.9,2198.1,2179.183018,NaN,NaN,2182.68381
2024-08-02T03:00:00-04:00,2176.4,2178.8,2176.2,2176.5,2188.049,2194.520153,2181.577846,2195.9,2198.1,2178.646415,NaN,NaN,2182.57619
2024-08-02T03:01:00-04:00,2176.5,2176.5,2170.7,2170.7,2187.680573,2194.493709,2180.867437,2195.9,2198.1,2177.057132,NaN,NaN,2182.404762
2024-08-02T03:02:00-04:00,2170.6,2172.2,2170.2,2171.6,2187.448589,2194.484111,2180.413067,2195.9,2198.1,2175.965705,NaN,NaN,2182.241905
2024-08-02T03:03:00-04:00,2172.1,2173.5,2170.8,2173.3,2187.300521,2194.455501,2180.145541,2195.9,2198.1,2175.432564,NaN,NaN,2182.089524
2024-08-02T03:04:00-04:00,2173,2173.9,2171.7,2172.5,2187.231152,2194.439378,2180.022927,2195.9,2198.1,2174.846051,NaN,NaN,2181.938095
2024-08-02T03:05:00-04:00,2172.5,2172.7,2170.5,2171.2,2187.116243,2194.422272,2179.810214,2195.9,2198.1,2174.116841,NaN,NaN,2181.778095
2024-08-02T03:06:00-04:00,2171.3,2173,2171.3,2171.5,2187.036913,2194.405585,2179.66824,2195.9,2198.1,2173.593473,NaN,NaN,2181.628571
2024-08-02T03:07:00-04:00,2171.5,2171.5,2170.5,2171.2,2186.991912,2194.398732,2179.585091,2195.9,2198.1,2173.114778,NaN,NaN,2181.468571
2024-08-02T03:08:00-04:00,2171.4,2172.7,2171.4,2172.3,2186.928982,2194.382822,2179.475142,2195.9,2198.1,2172.951823,NaN,NaN,2181.319048
2024-08-02T03:09:00-04:00,2172.2,2172.2,2169.8,2170.9,2186.853287,2194.369855,2179.336719,2195.9,2198.1,2172.541458,NaN,NaN,2181.154286
