time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Daily_Open,Daily_Close,MA №1,MA №2,MA №3,MA №4
2024-07-24T12:30:00-04:00,2256.2,2258.5,2255,2255.2,2253.650708,2260.318792,2246.982623,2262.8,2262,2256.022376,NaN,NaN,2255.129524
2024-07-24T12:35:00-04:00,2255.1,2256.5,2251.6,2252.3,2253.648548,2260.288642,2247.008453,2262.8,2262,2254.012548,NaN,NaN,2254.827619
2024-07-24T12:40:00-04:00,2252.3,2252.3,2243.8,2247.4,2253.510205,2260.153734,2246.866676,2262.8,2262,2249.792976,NaN,NaN,2254.415238
2024-07-24T12:45:00-04:00,2247.6,2251.7,2246.3,2249.4,2253.458266,2260.080207,2246.836324,2262.8,2262,2249.737666,NaN,NaN,2254.226667
2024-07-24T12:50:00-04:00,2249.4,2250.4,2247.7,2247.8,2253.434375,2260.044861,2246.823889,2262.8,2262,2249.22367,NaN,NaN,2254.206667
2024-07-24T12:55:00-04:00,2247.7,2249.2,2247.3,2248.1,2253.407835,2260.01253,2246.803139,2262.8,2262,2248.434412,NaN,NaN,2254.118095
2024-07-24T13:00:00-04:00,2248,2249.3,2245.2,2247.8,2253.355777,2259.955221,2246.756333,2262.8,2262,2247.96974,NaN,NaN,2254.00381
2024-07-24T13:05:00-04:00,2248,2251.3,2246.9,2251,2253.331632,2259.914239,2246.749025,2262.8,2262,2249.64442,NaN,NaN,2254.148571
2024-07-24T13:10:00-04:00,2250.9,2251.5,2248.8,2249,2253.314674,2259.883318,2246.746029,2262.8,2262,2249.890972,NaN,NaN,2254.057143
2024-07-24T13:15:00-04:00,2249.1,2251,2247.3,2247.3,2253.295689,2259.857584,2246.733794,2262.8,2262,2248.84661,NaN,NaN,2253.748571
2024-07-24T13:20:00-04:00,2247.3,2249.6,2246.4,2249,2253.26494,2259.817795,2246.712085,2262.8,2262,2248.752617,NaN,NaN,2253.331429
2024-07-24T13:25:00-04:00,2248.9,2249.6,2246,2246.2,2253.233889,2259.784798,2246.68298,2262.8,2262,2247.53513,NaN,NaN,2252.793333
